f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,label
1.1051139,1.131438,1.129053,1.1350567,1.0874108,0.9836537,1.0440232,1.0130051,1.0178288,1.0174047,-0.0004241458,0.0021998028,-0.008872817,0.0,0
1.131438,1.129053,1.1350567,1.0874108,0.9836537,1.0440232,1.0130051,1.0178288,1.0174047,1.0204666,0.0030619316,0.0013188929,0.0024871791,0.0,0
1.129053,1.1350567,1.0874108,0.9836537,1.0440232,1.0130051,1.0178288,1.0174047,1.0204666,1.0171832,-0.003283488,-0.00011077826,-0.0002152341,0.0,0
1.1350567,1.0874108,0.9836537,1.0440232,1.0130051,1.0178288,1.0174047,1.0204666,1.0171832,1.0238825,0.0066994014,0.0017079567,0.0021592816,0.0,0
1.0874108,0.9836537,1.0440232,1.0130051,1.0178288,1.0174047,1.0204666,1.0171832,1.0238825,1.0408785,0.016996041,0.011847721,0.0068039848,0.0,0
0.9836537,1.0440232,1.0130051,1.0178288,1.0174047,1.0204666,1.0171832,1.0238825,1.0408785,1.0312399,-0.009638738,0.0036786515,0.004685568,0.0,0
1.0440232,1.0130051,1.0178288,1.0174047,1.0204666,1.0171832,1.0238825,1.0408785,1.0312399,1.0320858,0.00084594905,-0.0043963944,0.0027344173,0.0,0
1.0130051,1.0178288,1.0174047,1.0204666,1.0171832,1.0238825,1.0408785,1.0312399,1.0320858,1.0331683,0.0010824945,0.0009642218,-0.002570098,0.0,0
1.0178288,1.0174047,1.0204666,1.0171832,1.0238825,1.0408785,1.0312399,1.0320858,1.0331683,1.0367764,0.003608181,0.0023453378,0.0018455415,0.0,0
1.0174047,1.0204666,1.0171832,1.0238825,1.0408785,1.0312399,1.0320858,1.0331683,1.0367764,1.037204,0.0004275375,0.0020178591,0.001706071,0.0,0
1.0204666,1.0171832,1.0238825,1.0408785,1.0312399,1.0320858,1.0331683,1.0367764,1.037204,1.0353504,-0.0018535237,-0.0007129931,0.00072739826,0.0,0
1.0171832,1.0238825,1.0408785,1.0312399,1.0320858,1.0331683,1.0367764,1.037204,1.0353504,1.037918,0.0025675162,0.00035699623,0.00038051,0.0,0
1.0238825,1.0408785,1.0312399,1.0320858,1.0331683,1.0367764,1.037204,1.0353504,1.037918,1.0360777,-0.0018402502,0.00036363298,-0.00037541924,0.0,0
1.0408785,1.0312399,1.0320858,1.0331683,1.0367764,1.037204,1.0353504,1.037918,1.0360777,1.0217348,-0.014342866,-0.008091558,-0.0045385333,0.0,0
1.0312399,1.0320858,1.0331683,1.0367764,1.037204,1.0353504,1.037918,1.0360777,1.0217348,1.0184499,-0.0032849335,-0.0088139,-0.0064893495,0.0,0
1.0320858,1.0331683,1.0367764,1.037204,1.0353504,1.037918,1.0360777,1.0217348,1.0184499,1.0171039,-0.0013460248,-0.002315479,-0.006324608,0.0,0
1.0331683,1.0367764,1.037204,1.0353504,1.037918,1.0360777,1.0217348,1.0184499,1.0171039,1.0136585,-0.0034453466,-0.0023956858,-0.0026921018,0.0,0
1.0367764,1.037204,1.0353504,1.037918,1.0360777,1.0217348,1.0184499,1.0171039,1.0136585,1.0079933,-0.00566524,-0.0045552934,-0.0034855371,0.0,0
1.037204,1.0353504,1.037918,1.0360777,1.0217348,1.0184499,1.0171039,1.0136585,1.0079933,1.0055988,-0.0023945924,-0.004029916,-0.0038350597,0.0,0
1.0353504,1.037918,1.0360777,1.0217348,1.0184499,1.0171039,1.0136585,1.0079933,1.0055988,1.0124904,0.0068916846,0.002248546,-0.00038938248,0.0,0
1.037918,1.0360777,1.0217348,1.0184499,1.0171039,1.0136585,1.0079933,1.0055988,1.0124904,1.0032914,-0.00919905,-0.0011536828,-0.0015673194,0.0,0
1.0360777,1.0217348,1.0184499,1.0171039,1.0136585,1.0079933,1.0055988,1.0124904,1.0032914,1.0036998,0.00040836097,-0.0043953448,-0.0006330016,0.0,0
1.0217348,1.0184499,1.0171039,1.0136585,1.0079933,1.0055988,1.0124904,1.0032914,1.0036998,1.0122268,0.008527088,0.0044677244,-8.7867265e-05,0.0,0
1.0184499,1.0171039,1.0136585,1.0079933,1.0055988,1.0124904,1.0032914,1.0036998,1.0122268,1.0237727,0.0115458835,0.010036485,0.006827111,0.0,0
1.0171039,1.0136585,1.0079933,1.0055988,1.0124904,1.0032914,1.0036998,1.0122268,1.0237727,1.0249428,0.0011700469,0.006357965,0.007081006,0.0,0
